Date,Close,prob_up,signal,true_label,fwd_ret_5
2024-07-11,2415.0,0.50573283,1,1,0.015238115456780443
2024-07-12,2414.0,0.5150552,1,0,-0.007663628831814373
2024-07-15,2422.89990234375,0.522944,1,0,-0.012753272355106149
2024-07-16,2462.39990234375,0.51194054,1,0,-0.023472956050918148
2024-07-17,2454.800048828125,0.521381,1,0,-0.016905653892182126
2024-07-18,2451.800048828125,0.5299528,1,0,-0.040745633614015064
2024-07-19,2395.5,0.5385688,1,0,-0.006470465456063446
2024-07-22,2392.0,0.51026267,1,0,-0.006145464536737033
2024-07-25,2351.89990234375,0.50286824,1,1,0.03533317790159263
2024-07-26,2380.0,0.49728113,-1,1,0.01920166015624991
2024-07-29,2377.300048828125,0.5100205,1,1,0.01026370329474302
2024-07-30,2405.0,0.528425,1,0,-0.006611186005717307
2024-07-31,2426.5,0.52937895,1,0,-0.01483618380383267
2024-08-01,2435.0,0.5311028,1,0,-0.005256693563911674
2024-08-05,2401.699951171875,0.5592695,1,1,0.02527374460005194
2024-08-06,2389.10009765625,0.5257418,1,1,0.0324807878881892
2024-08-07,2390.5,0.50655985,1,1,0.02045593070225893
2024-08-08,2422.199951171875,0.49675697,-1,1,0.012757058503541474
2024-08-09,2432.10009765625,0.4836683,-1,1,0.027342624616513156
2024-08-12,2462.39990234375,0.49000627,-1,1,0.016000709895607645
2024-08-13,2466.699951171875,0.48936298,-1,1,0.01808087669319547
2024-08-14,2439.39990234375,0.5122313,1,1,0.028285645143178773
2024-08-15,2453.10009765625,0.51861596,1,1,0.010517224597622388
2024-08-21,2508.39990234375,0.49163386,-1,0,-0.0029500488884710574
2024-08-22,2478.89990234375,0.49479645,-1,1,0.018879362084720075
2024-08-23,2508.39990234375,0.49454457,-1,0,-0.005820385139539974
2024-08-26,2517.699951171875,0.5189442,1,0,-0.011041843494966619
2024-08-27,2516.0,0.5268741,1,0,-0.008982550737778205
2024-08-29,2525.699951171875,0.5270441,1,0,-0.012748921801631563
2024-09-03,2489.89990234375,0.5160634,1,1,0.00899640441902494
2024-09-04,2493.39990234375,0.5365023,1,1,0.007499878096137724
2024-09-05,2511.39990234375,0.5480162,1,1,0.015847754390283297
2024-09-06,2493.5,0.563836,1,1,0.03521156961224192
2024-09-09,2501.800048828125,0.5511743,1,1,0.03141732032199873
2024-09-10,2512.300048828125,0.5655082,1,1,0.020698164625780224
2024-09-11,2512.10009765625,0.58437073,1,1,0.023327037632894454
2024-09-12,2551.199951171875,0.55607986,1,1,0.01442460392460454
2024-09-13,2581.300048828125,0.5358852,1,1,0.014953648466069946
2024-09-16,2580.39990234375,0.54186726,1,1,0.01786548573900415
2024-09-17,2564.300048828125,0.52487016,1,1,0.0338883518656341
2024-09-18,2570.699951171875,0.4877942,-1,1,0.03442642147313091
2024-09-19,2588.0,0.4849084,-1,1,0.03164602099835778
2024-09-20,2619.89990234375,0.47888595,-1,1,0.009313388829300884
2024-09-25,2659.199951171875,0.48859727,-1,0,-0.004550185671556073
2024-09-26,2669.89990234375,0.49517202,-1,0,-0.004794114070068245
2024-10-01,2667.300048828125,0.5103115,1,0,-0.019607861084508627
2024-10-02,2647.10009765625,0.52252686,1,0,-0.01552646146348613
2024-10-03,2657.10009765625,0.5136549,1,0,-0.013736780195896858
2024-10-08,2615.0,0.51160085,1,1,0.017743748506214185
2024-10-09,2606.0,0.51110905,1,1,0.02609363008442056
2024-10-10,2620.60009765625,0.48959836,-1,1,0.02686403866301945
2024-10-11,2657.60009765625,0.48396966,-1,1,0.02110921562845358
2024-10-14,2647.800048828125,0.48512644,-1,1,0.02843872174617257
2024-10-15,2661.39990234375,0.48981228,-1,1,0.031111464592452842
2024-10-16,2674.0,0.52486014,1,1,0.015108415237004458
2024-10-17,2691.0,0.53178555,1,1,0.016313601762820484
2024-10-18,2713.699951171875,0.50208664,1,1,0.01002319772314153
2024-10-21,2723.10009765625,0.53098637,1,1,0.007271052835898795
2024-10-22,2744.199951171875,0.5112254,1,1,0.008818581591163
2024-10-23,2714.39990234375,0.51476836,1,1,0.027298887533951044
2024-10-29,2768.39990234375,0.47199234,-1,0,-0.010150214747455921
2024-10-30,2788.5,0.49497885,-1,0,-0.04335660833557464
2024-10-31,2738.300048828125,0.5140839,1,0,-0.014571137484166719
2024-11-01,2738.60009765625,0.5015558,1,0,-0.01865920391224063
2024-11-04,2736.10009765625,0.47818223,-1,0,-0.045648968249138555
2024-11-05,2740.300048828125,0.5053373,1,0,-0.05119879076312228
2024-11-06,2667.60009765625,0.51662457,1,0,-0.03253862859893708
2024-11-07,2698.39990234375,0.4806439,-1,0,-0.04825079894895756
2024-11-08,2687.5,0.52460456,1,0,-0.04532094840116274
2024-11-12,2600.0,0.48578587,-1,1,0.010423114483173013
2024-11-13,2580.800048828125,0.47392824,-1,1,0.026115894710384335
2024-11-14,2568.199951171875,0.46467638,-1,1,0.040456408558440016
2024-11-15,2565.699951171875,0.47581702,-1,1,0.056202967578501184
2024-11-19,2627.10009765625,0.46666798,-1,0,-0.002588423956206176
2024-11-20,2648.199951171875,0.46695778,-1,0,-0.003134222861250313
2024-11-21,2672.10009765625,0.48204967,-1,0,-0.005651022455893218
2024-11-22,2709.89990234375,0.49762705,-1,0,-0.027676299015743644
2024-11-25,2616.800048828125,0.5360738,1,1,0.0106618395839011
2024-11-26,2620.300048828125,0.49399042,-1,1,0.012784795395848647
2024-11-27,2639.89990234375,0.49357435,-1,0,-0.005037995825406982
2024-11-29,2657.0,0.5058998,1,0,-0.00692506674586002
2024-12-02,2634.89990234375,0.5268295,1,1,0.011385631755238546
2024-12-03,2644.699951171875,0.53967106,1,1,0.020002324445514086
2024-12-04,2653.800048828125,0.53661305,1,1,0.03014545125030299
2024-12-05,2626.60009765625,0.5370701,1,1,0.02318582961985416
2024-12-09,2664.89990234375,0.53375226,1,0,-0.005065856315326078
2024-12-10,2697.60009765625,0.53415114,1,0,-0.019721305377591647
2024-12-11,2733.800048828125,0.5105201,1,0,-0.03559150160591806
2024-12-12,2687.5,0.48392528,-1,0,-0.035460483284883715
2024-12-13,2656.0,0.45256048,-1,0,-0.010278632841914548
2024-12-16,2651.39990234375,0.41484404,-1,0,-0.014746871447442578
2024-12-17,2644.39990234375,0.44108784,-1,0,-0.009227009243996775
2024-12-19,2592.199951171875,0.44499406,-1,1,0.009644317749754716
2024-12-20,2628.699951171875,0.4356399,-1,0,-0.008597349996354642
2024-12-24,2620.0,0.47920442,-1,1,0.014847290970896987
2024-12-27,2617.199951171875,0.48690036,-1,1,0.008100241314150436
2024-12-30,2606.10009765625,0.48929134,-1,1,0.019415928636483004
2024-12-31,2629.199951171875,0.48592332,-1,1,0.01342615604887376
2025-01-02,2658.89990234375,0.51106703,1,1,0.018654368151478362
2025-01-03,2645.0,0.4869365,-1,1,0.010775047258979153
2025-01-06,2638.39990234375,0.4841753,-1,1,0.014819625190827468
2025-01-07,2656.699951171875,0.4895833,-1,1,0.021003519348698596
